"Club","About","URL"
"Active Minds at the University of Washington","Active Minds is a national nonprofit organization that is dedicated to changing the conversationabout mental health through education, research, workshops, and advocacy. Our goal is to reduce the stigma around mental health, create a supportive and caring environment for discussion, and be a catalyst for lasting change throughout both the UW campus and the Greater Seattle community. By holding campaigns and events such as Stress Less Week, Suicide Prevention Month, and National Eating Disorders Awareness Week we strive to increase the visibility of mental health resources available to students at the UW and hope to provide a safe space where students can learn about mental health and mental health issues.If you are interested and would like to stay connected about events, please follow our Instagram page @activeminds.uw - that is the BEST way to contact and stay up-to-date with us! We look forward to meeting you :)","https://huskylink.washington.edu/organization/activeminds"
"Acts2Fellowship","Welcome to A2F! We are a student group on campus that aims to live out our faith, grow in our love for God, and invite students to explore Christianity. We want to create a tight knit community where students are comfortable with asking questions and learning more about the message of Jesus Christ. Whether you have been to church all of your life, or just have questions about faith... A2F is the place for you!Especially during this uncertain year, we know that college life can be extra challenging. A2F meets in-person, and we are sure to comply with COVID-19 safety guidelines. Hope to meet you soon!https://uw.acts2fellowship.org/https://www.youtube.com/watch?v=OJgc69N68Ck","https://huskylink.washington.edu/organization/a2f"
"N/A","N/A","https://huskylink.washington.edu/organization/addictionmedicineinterestgroup"
"Adelpos","To promote the faith of Christianity among young adults by encouraging the members to meditate on the word of God and have fellowship in Christ.","https://huskylink.washington.edu/organization/adelpos"
"Advanced Robotics at the University of Washington","We do not accept applications from this website (HuskyLink).For inquiries or to apply, please visit aruw.org.The RoboMaster Robotics Competition is a worldwide collegiate robotics competition. The field is larger than a basketball court and features eight robots from each side. Matches are intense and theatrical, resembling eSports competitions. The 2019 competition was streamed to thousands of viewers. The recording can be found here: https://youtu.be/-o_WYEoxWGY?t=2352ARUW typically has around 50-60 members from a wide variety of majors including business, electrical engineering, mechanical engineering, and computer science.","https://huskylink.washington.edu/organization/robomstr"
"Advancing Husky Artistry","Advancing Husky Artistry is a safe place for artists and appreciators of the arts to connect! Here, artists of all different skill levels and mediums can gain new skills and build each other up as a community. Through emphasis on portfolio building, connection making, and professional advancement, AHA aims to provide the resources to help artists achieve their goals. Placing emphasis on skill improvement, whether you are a beginner artist unsure where to start, or an art major looking for portfolio critique, we’ve got you covered. AHA strives to provide the activities, resources and connections to help artists of all kinds achieve their goals, hobbyist or professional.Remember, creating art isn’t a magical talent — it’s a skill that anyone can learn!If you are interested, join our Discord to learn meeting times, events, and more.  https://discord.gg/7vN2NwWGFB","https://huskylink.washington.edu/organization/huskyartistry"
"Adventist Christian Fellowship at University of Washington","To provide students with opportunities to engage in weekly spiritual fellowship and in robust conversation at the intersection of life and faith within an Adventist framework.","https://huskylink.washington.edu/organization/acfuw"
"African Caribbean Student Association","African Caribbean Student Association is an organization to welcome all African and Caribbean students on campus. We strive to Promotion cultural exchange within different African and Caribbean national and cultural groups as well as educate. we aim to celebrate the rich diversity, culture, and history of the regions of Africa and the Caribbean.","https://huskylink.washington.edu/organization/acsa"
"AI Alignment at the University of Washington","AI Alignment at the University of Washington aims to facilitate discourse and research on the AI alignment problem: the problem of making controllable AI systems. By default, AI systems will pursue objectives that correlate with our desired objective on familiar examples, but diverge in important and potentially catastrophic ways. The alignment problem is figuring out how to ensure that doesn't happen.How do you instill every single human value into a super intelligent AI system, and what are the consequences of failing to do so?Intro to AI Safety VideoJoin our discord!","https://huskylink.washington.edu/organization/aiauw"
"AIESEC in Seattle","AIESEC is a non-profit organization as well as a national affiliated RSO at the Foster School of Business. The club functions as a platform for students to explore and develop their leadership potential in sales, marketing, finance, management, HR, and global communication by facilitating international exchanges between 120+ countries & territories in the form of internships and volunteer experiences. Our mission statement is ""We strive to achieve peace and fulfillment of humankind's potential"" NOTE: Members do not have to go on international exchanges. Please contact vptm-seattle@aiesecus.org for more information!","https://huskylink.washington.edu/organization/aiesecseattle"
"Algorithmic Trading Club","Algorithmic Trading Club (ATC) is a Registered Student Organization (RSO) focused on cultivating early talent and technical expertise in quantitative research and algorithm development at the University of Washington - Seattle. Open to students of all experience levels and backgrounds, ATC members are united by grit, intellectual curiosity, and a passion for quantitative finance. The club includes participants ranging from early undergraduates to PhD candidates who collaborate closely to develop research papers, compete in competitions, and engage in skill-building workshops. Supported by the Paul G. Allen School of Computer Science & Engineering and endorsed by the Applied Mathematics Department, ATC stands as the leading student-led hub for financial engineering talent development in the Pacific Northwest, rapidly growing in name recognition from major quantitative finance firms and within the greater quant finance community.ATC is committed to advancing quantitative finance knowledge and serves as the University of Washington’s primary pipeline to research, development, and trading roles. Applications are accepted twice per academic year, offering students a unique opportunity to join a community dedicated to mastering quantitative finance and driving meaningful advancements in the industry.Linkto join our mailing list.Linkto join our discord.","https://huskylink.washington.edu/organization/atc"
"Allen School Student Advisory Council","The Allen School Student Advisory Council will serve as the collective voice of undergraduate and master's students in CSE. This advisory council aims to use research-based methods to assess and understand students’ needs and ultimately create a structure to address them. The advisory council seeks to collaborate with advisers, staff, and faculty on key issues such as diversity, social responsibility, and student wellness.","https://huskylink.washington.edu/organization/allensac"
"Alliance for Disability Law & Justice","The Alliance for Disability Law and Justice (ADLJ) at UW Law advocates for a more inclusive, accessible, and holistic approach to law school from a foundation of anti-racism, intersectionality, and anti-ableism. ADLJ is guided by a vision of a legal profession that centers and celebrates the perspectives of all people, particularly those that have been marginalized by the legal system. As an intersectional feminist organization, ADLJ is committed to fighting ableism and oppression in our community, advocating for positive change and accessibility, and collaborating throughout the process.The mission of the Alliance is to create a UW Law community that acknowledges barriers to authentic inclusion, removes them as they arise and guarantees accessibility and inclusion for everyone.","https://huskylink.washington.edu/organization/adlj"
"Alliance for Equal Representation in Medicine","The mission of AFERM is to promote diversity within the University of Washington School of Medicine (UWSOM) for the purpose of providing culturally competent and representative future physicians for all patients and communities.","https://huskylink.washington.edu/organization/afermuw"
"Alpha Chi Omega","The Alpha Chi Omega Fraternity is devoted to enriching the lives of members through lifetime opportunities of friendship, leadership, learning and service.The Alpha Chi Omega Foundation serves to support the educational and philanthropic purposes of Alpha Chi Omega through effective fundraising and stewardship of financial resources.The National Housing Corporation promotes, supports and develops appropriate, desirable and safe facilities to enhance the Alpha Chi Omega experience.Pearl Stone Partners, LLC delivers comprehensive human resources services and supports employees and those who direct them, to enhance the Real. Strong. Woman. Experience.","https://huskylink.washington.edu/organization/alphachiomega"
"Alpha Delta Phi Fraternity","The objectives of THE ALPHA DELTA PHI are the cultivation of character, learning, and enduring friendships.","https://huskylink.washington.edu/organization/eells"
"Alpha Delta Pi","Alpha Delta Pi is the first secret society for women. Providing women with a well rounded college experience.","https://huskylink.washington.edu/organization/uwadpi"
"Alpha Epsilon Delta Pre-Health Honor Society","We are dedicated to encouraging and recognizing excellence in pre-medical scholarship, building a pre-health community here on campus, promoting a life of service, and empowering students to make informed decisions in the pursuit of healthcare professions. We do this through events such as physician panels, MCAT prep nights, medical skills building, case studies, admissions committee visits, volunteer events, and a yearly physician shadowing program. Visit us atwww.aeduw.comto learn more and learn how to join one of the largest pre-health communities on campus.Apply to be a member for 2022-2023:  https://docs.google.com/forms/d/1IodSLRJYWcAT70Qu9TO1ycEsroaSIR7P4DAPmxS6MQ4/viewform?edit_requested=trueJoin our email listserv to stay updated on AED's upcoming meetings & events:  https://docs.google.com/forms/d/1Z_I8PsGG9x7d9a8X6SFbyfUnRmV9h6l2p-DBN8cmeck/viewform?edit_requested=true","https://huskylink.washington.edu/organization/aed"
"Alpha Gamma Delta","Alpha Gamma Delta is an international women's fraternity that promotes academic excellence, philanthropic giving, ongoing leadership and personal development and above all, a spirit of loving sisterhood. Guided by our Purpose, Alpha Gamma Deltas strive to attain a higher standard, thereby improving their lives, the lives of those around them, and the communities in which they live. Together, we continually work to: Inspire the Woman. Impact the World.","https://huskylink.washington.edu/organization/agd"
"alpha Kappa Delta Phi at University of Washington","The purpose of this Asian American interest sorority is to promote sisterhood, scholarship, leadership and Asian awareness in the university and community, while encouraging the expression of the individual. The sorority is composed of highly motivated women with diverse backgrounds, interests and fields of study. Each woman, however, shares a strong bond of love, friendship and sisterhood. With a supportive network of sisters, each woman can strive to fulfill her personal, academic and career goals.","https://huskylink.washington.edu/organization/uwakdphi"
"Alpha Kappa Psi Business Fraternity","Our goal is to bring together students who share an interest in business and provide them with opportunities to learn and grow through professional development, philanthropy, social events, and more.","https://huskylink.washington.edu/organization/akpsi"
"Alpha Phi","Alpha Phi is an organization dedicated to promoting sisterhood, cultivating leadership, encouraging intellectual curiosity, and advocating service among its members.","https://huskylink.washington.edu/organization/alphaphi"
"Alpha Phi Alpha Fraternity Incorporated","Alpha Phi Alpha Fraternity Inc., founded in 1906, is the first intercollegiate Greek-Letter Fraternity that has strived to forge deep bonds of brotherhood among black men pursuing higher education through community service, personal development, and social events.","https://huskylink.washington.edu/organization/aphia"
"Alpha Theta Delta","Alpha Theta Delta is a co-ed professional design fraternity that strives to empower members by providing opportunities for professional and personal growth. We are an interdisciplinary group of students,  passionate about design and technology. Our goal is for our brothers to create lifelong bonds and gain the necessary skills and experiences to be readily prepared to join the workspace.","https://huskylink.washington.edu/organization/alphathetadelta"
"Alpha Xi Delta Sorority","Alpha Xi Delta is a progressive organization dedicated to the personal growth of women. Through membership in Alpha Xi Delta, Sisters are inspired to realize their potential through the ideals our Founders instilled in our Fraternity: Sisterhood, leadership, knowledge and service to our communities.","https://huskylink.washington.edu/organization/alphaxi"
"Alphorn Club at the University of Washington","Alphorn is a Swiss instrument originally invented to communicate throughout the Swiss Alps. Our goal is to help teach others about this instrument, its history, and how to play it.","https://huskylink.washington.edu/organization/alphorn-club"
"Amateur Radio Club at the University of Washington","Our organization aims to foster and maintain community among Amateur (Ham) Radio enthusiasts and hobbyists affiliated with UW and in the broader Seattle area. Our mission is to learn, practice, and teach radio-related knowledge and skills.","https://huskylink.washington.edu/organization/arcuw"
"American Academy of Developmental Medicine and Dentistry, University of Washington Chapter","Our mission is to improve the quality of healthcare for individuals with neurodevelopmental disorders and intellectual disabilities. The most valuable contribution we can make is to contribute our expertise where it will have the most significant impact - the universities and healthcare centers where healthcare professionals are trained. Furthermore, we can enhance our contribution by working collaboratively with advocacy organizations and associations that serve our patients.","https://huskylink.washington.edu/organization/aadmd1"
"N/A","N/A","https://huskylink.washington.edu/organization/aaae-uw"
"American Association of Psychiatric Pharmacists, University of Washington Collegiate Chapter","The mission of AAPP is to advance the reach and practice of psychiatric pharmacy and serve as the voice of the specialty. AAPP envisions a world where all individuals living with mental illness receive safe, appropriate, and effective treatment.","https://huskylink.washington.edu/organization/aapp_uwchapter"
"American Association of Women Dentists UW Chapter","The American Association of Women Dentists UW Chapter aims to uplift women in dentistry by holding networking events, women’s history month events, and lunch & learns to highlight some of the impactful women in our local dental community. Hosting more frequent events and fostering a stronger school-wide community will allow us to shine more light on the issues many women face when accessing healthcare. We hope to promote women’s health and empower each other as healthcare providers to best meet the needs of our patients, whether that is in terms of access to dental care, feminine hygiene products, resources for domestic violence, or other.","https://huskylink.washington.edu/organization/aawd"
"American Cancer Society On Campus","To spread cancer awareness to our campus and local community by planning ACS fundraisers and our annual Relay for Life at UW!","https://huskylink.washington.edu/organization/acsuw"
"American Concrete Institute UW Student Chapter","We are a team of students representing the University of Washington in biannual concrete competitions at the ACI conventions. Our team is eager to learn more about concrete and the construction industry. We aim to propel our members into the industry through
 networking, educational tours, and hands-on projects. At the beginning of preparation for each competition, we choose a team of 8 people to be involved while other members join weekly meetings, educational sessions, site tours planned by the officers, and
 social hours with our special guests.We need to evolve and progress through our studies by learning and exploring more materials used in concrete construction. We are well aware of the carbon footprint of concrete; one of our goals is to try our best to keep our mix carbon neutral by implementing
 supplemental cementitious materials and locally sourced aggregates. We define ourselves as a student-led, environmentally-focused organization dedicated to advancing sustainable concrete practices to create a better world for future generations.","https://huskylink.washington.edu/organization/aciuw"
"American Constitution Society","The American Constitution Society (ACS) believes that law should be a force to improve the lives of all people. ACS works for positive change by shaping debate on vitally important legal and constitutional issues through development and promotion of high-impact ideas to opinion leaders and the media; by building networks of lawyers, law students, judges and policymakers dedicated to those ideas; and by countering the activist conservative legal movement that has sought to erode our enduring constitutional values. By bringing together powerful, relevant ideas and passionate, talented people, ACS makes a difference in the constitutional, legal and public policy debates that shape our democracy.","https://huskylink.washington.edu/organization/acslaw"
"American Dental Education Association - Chapter at University of Washington School of Dentistry","The American Dental Education Association (ADEA) is The Voice of Dental Education. Our mission is to lead institutions and individuals in the dental education community to address contemporary issues influencing education, research and the delivery of oral health care for the overall health and safety of the public.","https://huskylink.washington.edu/organization/uwadea"
"American Indian Science and Engineering Society-UW Chapter","The mission of the American Indian Science and Engineering Society (AISES)-UW is to substantially increase the representation of American Indians, Alaskan Natives, Native Hawaiians, Pacific Islanders, First Nations and other indigenous peoples in North America in science, technology, engineering and math (STEM) studies and careers. We aim to combine traditional native values with the STEM fields.As a part of the RSO, members also have the ability to participate in First Nations Launch, which is a rocketry competition where members are tasked with creating and flying a rocket at a yearly competition hosted by the Wisconsin Space Grant.","https://huskylink.washington.edu/organization/aisesuw"
"American Institute of Aeronautics and Astronautics at UW, Student Branch","The objective of this organization is to further the purposes and programs of the American Institute of Aeronautics and Astronautics at the University of Washington. Our goal is to facilitate industry/academia outreach in the aerospace/aviation community to support students in career explorations and prepare them for industry.","https://huskylink.washington.edu/organization/aiaauw"
"American Institute of Architecture Students - UW Chapter","The American Institute of Architecture Students at the University of Washington is a student-run organization that promotes professional development and strives to create a network of students to collectively learn more about the field of architecture.Existing within the College of Built Environments, the RSO runs a peer mentorship program, design skills workshops, architecture firm tours, an annual Beaux Arts Ball, etc.","https://huskylink.washington.edu/organization/uwaias"
"American Institute of Chemical Engineers UW Student Chapter","It shall be the purpose of this organization to promote a network for all chemical engineers, locally and internationally. Our vision is to promote a sense of community and preparedness for chemical engineering to grow both academically and professionally. We aim to plant the seed of professional and personal growth through innovation in sustainability, networking, and creating a welcoming environment for students, staff, and all faculty.","https://huskylink.washington.edu/organization/aiche"
"American Marketing Association, UW Chapter","We strive to increase the value of membership each year by challenging ourselves to seek opportunities that promote growth and foster diversity, inclusion, equity, and action. The wide-scale influence yielded by the Michael G. Foster School of Business holds us accountable for exceeding the performance of the previous years’ operations. We focus on providing students with valuable experiences and a network to utilize throughout their careers. We seek to educate members on marketing concepts, and to provide them with a platform to acquire wisdom through action by sharing opportunities to practice learned skills. With the support of a renowned business school and strong affiliation with the local professional AMA chapter, we are determined to develop the most impactful chapter experience yet.We'd love to see you at a meeting! Come to one meeting on us! Go to our website (uwama.com) and sign up for an email newsletter to learn about our next event!","https://huskylink.washington.edu/organization/uwama"
"American Medical Women's Association - UW Branch","The American Medical Women's Association is an organization which functions at the local, national, and international level to advance women in medicine and improve women's health. We achieve this by providing and developing leadership, advocacy, education, expertise, mentoring, and strategic alliances.","https://huskylink.washington.edu/organization/amwauw"
"American Pharmacists Association: University of Washington Student Chapter","The American Pharmacists Association (APhA), established in 1852, is the largest pharmacy association in the United States, serving more than 62,000 members. APhA-ASP provides student pharmacists with opportunities for professional growth, opportunities to improve patient care, and to envision and advance the future of pharmacy. By joining a professional organization, you can help ease the transition into pharmacy school. APhA-ASP will help you meet new people, learn about current issues facing pharmacy practice, participate in career development opportunities, and personal and professional growth.","https://huskylink.washington.edu/organization/aphaasp"
"American Red Cross at UW","The American Red Cross at UW is an affiliated chapter of the national humanitarian organization, focusing on emergency relief and disaster preparedness. Our RSO holds blood drives, CPR/First Aid training, disaster preparedness education, and more!","https://huskylink.washington.edu/organization/redcross"
"American Society for Microbiology - UW Chapter","We are a student-led, Microbiology interest group open to all majors and a chapter of the American Society for Microbiology. The activities of the chapter change to reflect the interests of students who participate. All microbiology majors are urged to participate at some level of involvement. The Club sponsors field trips to local biotech firms and speakers on topics such as the research activities being conducted at the University of Washington and in the Seattle area. Discussions take place on career awareness and opportunities; graduate and health professional school admissions; and application policies and processes.","https://huskylink.washington.edu/organization/microph"
"American Society of Civil Engineers UW Student Chapter","To enhance the personal and professional development of civil engineering students and to expose those students to the professional civil engineering community.","https://huskylink.washington.edu/organization/asce"
"American Society of Consultant Pharmacists","ASCP is an international professional association that provides leadership, education, advocacy, and resources to advance the practice of consultant and senior care pharmacy. Its mission is to empower pharmacists to enhance the quality of care for all older persons through the appropriate use of medications and the promotion of healthy aging.","https://huskylink.washington.edu/organization/ascpuw"
"American Society of Health-System Pharmacists","The American Society of Health-System Pharmacists (ASHP) is one of the world’s largest pharmacy organizations, and is at the forefront of the expanding role of a clinical pharmacist in the health-system pharmacy practice setting. In the 2016-2017 academic year, our chapter received national recognition for our award-winning shadowing program. Additionally, our chapter was selected as a recipient of an Outstanding Professional Development Award for the 2022-2023 academic year. We continue to prioritize residency education and the development of clinical student pharmacists through tours of local residency programs, mock residency interviews, clinical skills competitions, and residency roundtable discussions with local residents and residency coordinators.","https://huskylink.washington.edu/organization/ashp"
"American Society of Landscape Architects, University of Washington Chapter","The purpose of the Society is the advancement of knowledge, education, and skill in the art and science of landscape architecture as an instrument of service in the public welfare. To this end the Student Chapter promotes the profession of landscape architecture and advances the practice through advocacy, education, communication, and fellowship. 202. The purpose of the Student Chapter shall be to bring students together through organized activities that: 1. are consistent with the purpose and policies of the Society; 2. enhance understanding of the Society, the profession, and related disciplines; 3. improve skills and knowledge and complement the educational curriculum; and 4. encourage participation in the programs and activities of the Society, the State Chapter, and other student chapters.","https://huskylink.washington.edu/organization/uwasla"
"American Society of Mechanical Engineers - University of Washington Chapter","The mission of the American Society of Mechanical Engineers (ASME) at UW is to promotepeer relationships and professional engineering development for students of mechanicalengineering. ASME provides students with opportunities to network with the greatermechanical engineering community through social events, guest speaker lectures fromindustry, and tours of current projects, local businesses, and research facilities.","https://huskylink.washington.edu/organization/asmeuw"
"American Student Dental Association, UW Chapter","We foster a culture of unity, support, and excellence to enhance dental student life at the University of Washington School of Dentistry.","https://huskylink.washington.edu/organization/asda"
"N/A","N/A","https://huskylink.washington.edu/organization/anakbayanuw"
"Analytical Investment Management Society","The Analytical Investment Management Society (AIMS) is dedicated to bridging the realms of Informatics and Finance within the Foster School of Business. Our core purpose revolves around the fusion of data analytics, technology, and financial expertise. By integrating the power of Informatics with the intricacies of investment management, AIMS aspires to equip our members with cutting-edge skills and insights. We believe that this synergy not only enhances our understanding of financial markets but also positions us to make more informed investment decisions in an increasingly data-driven world. Through seminars, workshops, and collaborative projects, we strive to empower the next generation of finance professionals with the tools needed to navigate and excel in today's complex financial landscape.","https://huskylink.washington.edu/organization/aims"
"Ancient Drama Club","We focus on reading and performing a selection of Greek and Roman plays. Our goal in this club is to promote accessibility and discussion of ancient Mediterranean dramatic literature and performance, foster education on ancient theatrical practices and how they affect the modern tradition, and have fun reading and performing ancient drama.","https://huskylink.washington.edu/organization/ancient-drama"
"Anime Discovery Project","The Anime Discovery Project (ADP) is a club that welcomes all anime lovers in the University of Washington (and the world!). We get together from6:00-8:20 PM on Fridays at PAA A110to watch anime together, because it’s much more fun when 50+ other people are laughing (and sometimes crying) with you.While that may sound intimidating, our officers make every effort to know everyone by name (and some of us at least partially succeed). Of course, we've got lots of people with overlapping/related interests such as manga, games, cosplay, and more, so there will be tons of opportunities to get to know each other. There’sno fee to watch,just come on by and have fun!","https://huskylink.washington.edu/organization/adp"
"Anime Nation at the University of Washington","Anime Nationis an inclusive, friendly community dedicated to hosting, creating, and promoting spaces for people who enjoy or are passionate about Japanese/Otaku culture to meet, befriend, and enjoy with each other.Anime, manga, J-Music/Asian-Music, food, art, cosplay, J-Fashion and more are within the realm that Anime Nation is all about.We've partnered with entities both locally and huge to host a wide variety of events for the UW and Seattle anime community to enjoy.From small things like ourdaily study room bookingswhere you often find our President napping, or our weekly boba shop hangouts at Boba Gem, to our huge events likeSakura-Con meet-upsor helping bring theGenshin Impact Teyvat Goods Pop-Up Storeto Seattle for the first, our goal is the same: to bring events to and unite the people who enjoy the same stuff we do!If you'd like to keep up to date with our events or want to join the community join our discordhereor follow our instagram to keep up to date @animenationuwsee you space cowboy...","https://huskylink.washington.edu/organization/animenationuw"
"Anti Cinema Cinema Club","Some film clubs watch black and white ""art films"" from the 1940s…. We do not.B-list movies with A-list people!Loading Swag for Autumn 2024:████████████████100% Complete.Check out the best of the best of the movies on our ig @acccuwhttps://www.instagram.com/acccuwFor even more ACCC, like memes, chat, submitting suggestions for movies or even short videos to watch before movies, check out our discord:https://discord.com/invite/k3Vcm2H","https://huskylink.washington.edu/organization/accc"
"Anti-AI AI Club","With AI becoming what many consider the leading technology of our age, we hope to analyze and mitigate conflict around it's inevitable application.We believeAI will transform how society functions as learners, teachers, researchers, workers, lovers and creative emotional beings. However AIamplifiesexisting bias and stereotypesinternallyin its own algorithms, as well asexternallyby underinformed or malicious users.In joining the effort to solve this problem,our goalas the Anti-AI AI-Club is to inviteall voicesfrom all different backgrounds to be experts of their own lived experiences and disciplines in discussion on Artificial Intelligence and related emerging technology.Our hopeis that creating this space will bridge the gaps between previously isolated groups, including student populations, the general public, academic faculty, and industry.","https://huskylink.washington.edu/organization/anti-ai-ai-club"
"Applied Analytics Club at University of Washington","Analytics is a fast-growing discipline at the intersection of business, technology, economics and data science.The Applied Analytics Club intends to unite these disciplines by focusing on the intensely data-driven decision-making aspects of today's marketplace, professional and academic environment. We study widely-used applications, understand emerging developments and methods, partner with top companies, and learn from theoretical and practicing experts. While applications are focused on business uses, our club is intended for anyone looking to become involved in the future of analytics irrespective of their field of study. We provide a home for anyone interested in analytics and data. Whether you're a marketing, data science, computer science, business analytics, finance, econ, econometrics, math, ACMS, or another major; you're welcome at AACUW! Find your passion for data at our meetups!The Applied Analytics Club's mission is: Encourage involvement in innovation and application of analytics to business, connecting to macroeconomic, marketplace, financial and operational impact. Excite members about the future of analytics and the limitless possibilities of the insights to be discovered, and the economic benefits that result. Enable members to network with professionals as well as like-minded peers. Expose the world of analytics to broader communities, including University of Washington researchers and local businesses to gain real-world experience. Educate members about the importance of analytics and data-driven decision-making, through experienced guest speakers, case studies and innovations Ensure rigorous and respectful discussion during all events, democratic management of the club, and equal opportunity for all members.The Applied Analytics Club upholds the academic standards and conduct as defined by the University of Washington. Furthermore, we promote and assist in skill development and provide opportunities for UW students and members of the surrounding community. Anyone is welcome! No further process becoming a member. Join our Discord to be the first to know about our upcoming events:https://discord.gg/pNSczKNSrhTo join our club, simply join the Discord and come to our meeting. If you're interested to become an officer, please shoot us an email at uwappliedanalytics@gmail.com","https://huskylink.washington.edu/organization/aacuw"
"Arab Student Association at The University of Washington","The Arab Student Association at the University of Washington aims to unite and serve the Arab community on campus. The ASA shall act as a bridge between the Arab community and non-Arab community by educating the general populace about Arab culture and heritage. We are committed to acceptance and peace as we aim to serve both Arabs and non-Arabs through our events and mission to enrich our campus with diversity.","https://huskylink.washington.edu/organization/arabstudentassociation"
"Arabic Language and Culture Association at the University of Washington","The mission of the Arabic Language and Culture Association at the University of Washington is to foster a vibrant and supportive community that encourages the use and appreciation of the Arabic language while celebrating the rich diversity and cultural heritage of the Arabic-speaking world. The association offers a welcoming space for Arabic speakers of all levels and backgrounds at the University of Washington to connect, collaborate, and enhance their language skills together. Additionally, it provides opportunities for members and the broader university community to learn about and engage with the traditions, history, and cultural practices of Arabic-speaking societies.","https://huskylink.washington.edu/organization/arabicassociationuw"
"N/A","N/A","https://huskylink.washington.edu/organization/armsocuw"
"ARMY ROTC at UW","Student sustained and run program under the UW Army ROTC","https://huskylink.washington.edu/organization/armyrotcuwedu"
